Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,24/11/2014,3888,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,13/11/2014,-5323.94,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,13/11/2014,-1889.14,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,13/11/2014,-5323.94,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,18/11/2014,5323.94,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,24/11/2014,5247.21,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,13/11/2014,-5152.2,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,24/11/2014,3160.26,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,24/11/2014,5077.95,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,24/11/2014,3320.31,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,24/11/2014,1861.91,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,24/11/2014,5247.21,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,24/11/2014,5247.21,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,24/11/2014,5077.95,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,24/11/2014,3318.21,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,24/11/2014,3267.81,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Foundation Fostering,21/11/2014,3480,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,21/11/2014,3139.8,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,5078.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3139.8,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3139.8,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3344.59,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,10/11/2014,3050.18,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,10/11/2014,3236.79,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3077.99,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3244.46,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3277.94,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,2635,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3277.63,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3344.59,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3050.09,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3520.67,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3344.59,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3050.09,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3244.46,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,2958.64,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,5247.99,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,2978.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,2978.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3407.1,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,2863.2,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3107.1,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3236.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3236.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,2951.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3139.8,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3236.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,2951.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3236.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,5078.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,2550,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3172.2,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3171.9,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3236.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3210.67,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3344.59,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3244.46,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,5247.99,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3077.99,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/11/2014,3344.59,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/11/2014,3311.73,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,26/11/2014,3299.33,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/11/2014,3380.86,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/11/2014,3449.99,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/11/2014,3077.99,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/11/2014,3233.3,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/11/2014,3233.3,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/11/2014,3233.3,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,24/11/2014,2980.04,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/11/2014,3167.27,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,27/11/2014,3720,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,27/11/2014,3720,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,27/11/2014,3348,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,27/11/2014,6200,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,28/11/2014,3419.92,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,28/11/2014,3720,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,28/11/2014,240,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,21/11/2014,6321.3,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,21/11/2014,5689.2,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,21/11/2014,5689.2,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,24/11/2014,6321.3,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PROGRESS CHILDREN'S SERVICES LTD,11/11/2014,3797.4,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,03/11/2014,3366.6,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,03/11/2014,3604.99,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,18/11/2014,435,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,THE ADOLESCENT & CHILDRENS TRUST,17/11/2014,3003.9,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Premises-Related Expenditure,Hire Of Rooms,AFC TELFORD UNITED,05/11/2014,311.67,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Form F Assessments,CORE ASSETS CHILDREN'S SERVICES LIMITED,21/11/2014,2350,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Legal Expenses,CORE ASSETS CHILDREN'S SERVICES LIMITED,21/11/2014,2450,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Legal Expenses,CORE ASSETS CHILDREN'S SERVICES LIMITED,21/11/2014,2450,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Legal Expenses,Wright McMillian Bennett Law,05/11/2014,450.52,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Marketing & Publicity,THE MIDLAND NEWS ASSOCIATION LTD,05/11/2014,327.89,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Marketing & Publicity,THE MIDLAND NEWS ASSOCIATION LTD,05/11/2014,125.14,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Marketing & Publicity,THE MIDLAND NEWS ASSOCIATION LTD,21/11/2014,327.89,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Marketing & Publicity,THE MIDLAND NEWS ASSOCIATION LTD,21/11/2014,181.98,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Marketing & Publicity,THE MIDLAND NEWS ASSOCIATION LTD,21/11/2014,648,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Marketing & Publicity,THE MIDLAND NEWS ASSOCIATION LTD,05/11/2014,181.98,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Printing - Other,ALLWAG PROMOTIONS LTD,05/11/2014,215,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Subscriptions,FOSTERING NETWORK,05/11/2014,2702,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Supplies & Services,Supportive Lodgings,BETTERCARE KEYS LTD,18/11/2014,430,,,,,,,,,
