Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Above N beyond Limited,07/10/2014,1371.46,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Above N beyond Limited,20/10/2014,1602.9,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,BETTERCARE KEYS LTD,31/10/2014,640,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,07/10/2014,832,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,07/10/2014,765,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,07/10/2014,593.6,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,20/10/2014,765,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,29/10/2014,1435.8,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,31/10/2014,2799.96,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,31/10/2014,2799.96,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/10/2014,2799.96,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,23/10/2014,2799.96,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,31/10/2014,1594.28,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,31/10/2014,10927.14,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,31/10/2014,2170,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,31/10/2014,1440,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,23/10/2014,-754.28,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,KEY ANGELS LTD,20/10/2014,208.33,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,07/10/2014,2507.1,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,31/10/2014,167.14,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,31/10/2014,-1035.7,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,21/10/2014,250.71,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,30/10/2014,835.7,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,20/10/2014,648,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,06/10/2014,1285.8,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,06/10/2014,1328.66,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,06/10/2014,514.32,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/10/2014,578.57,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,31/10/2014,1200.08,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,31/10/2014,985.71,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/10/2014,1285.8,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/10/2014,1328.66,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/10/2014,321.43,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/10/2014,328.57,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/10/2014,321.43,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/10/2014,4587.14,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,16/10/2014,731.92,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,20/10/2014,647.28,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,20/10/2014,240.8,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,20/10/2014,301,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,28/10/2014,731.92,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA,20/10/2014,679.44,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA,20/10/2014,169.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA,20/10/2014,169.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA,20/10/2014,509.58,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA,20/10/2014,996.8,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA,20/10/2014,199.36,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA,20/10/2014,169.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA,20/10/2014,339.72,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA,20/10/2014,169.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,KEY ANGELS LTD,20/10/2014,750,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,NEXT STEP CARE MANAGEMENT LTD,20/10/2014,139,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,30/10/2014,140,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,30/10/2014,140,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,30/10/2014,140.00,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,30/10/2014,140.00,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,30/10/2014,140.00,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,07/10/2014,504,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACORN FOSTERING SERVICES,14/10/2014,3410,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,21/10/2014,"3,516.33",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,21/10/2014,"3,516.33",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,30/10/2014,3402.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,"4,585.71",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4738.57,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4585.71,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4026.64,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4585.71,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4585.71,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4738.57,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4738.57,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4738.57,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4738.57,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4026.64,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4160.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4160.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4160.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,22/10/2014,4738.57,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,31/10/2014,-3355.54,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,24/10/2014,3758.2,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,24/10/2014,4160.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,24/10/2014,4160.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,24/10/2014,4026.64,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,27/10/2014,"4,130.75",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,28/10/2014,"4,217.55",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,30/10/2014,4583.35,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,30/10/2014,4017.6,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,24/10/2014,2611.44,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,30/10/2014,3888,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,27/10/2014,3430.99,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,27/10/2014,3265.6,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,27/10/2014,3428.82,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,22/10/2014,3376.74,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Foundation Fostering,21/10/2014,"3,596.00",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,"3,407.14",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,"5,078.57",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,"3,139.67",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,"3,236.79",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,"3,520.71",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,"3,172.03",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,"3,236.79",,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,3139.67,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,3139.67,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,3139.67,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,2951.79,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,2978.57,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/10/2014,2978.57,,,
