Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount (£) 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,Reacted Personal Information,05/06/2018,190.45
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,Reacted Personal Information,05/06/2018,187.85
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Lift Maintenance,Churches Fire Security Ltd,05/06/2018,190
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,Churches Fire Security Ltd,05/06/2018,123.9
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,Churches Fire Security Ltd,20/06/2018,245
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,Doors For Industry Ltd,21/06/2018,"2,630.00"
"Business, Development & Employment",Estates & Investment,Supplies & Services,Bulk Refuse Contracts Hire,FCC Recycling (UK) Ltd ,20/06/2018,"1,197.30"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,FCC Recycling (UK) Ltd ,13/06/2018,403.26
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,Total Sensory Ltd,01/06/2018,875
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Window Cleaning,BUSY BEE CLEANING,08/06/2018,322
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,01/06/2018,312.25
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,01/06/2018,187
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,19/06/2018,382.47
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,19/06/2018,996.48
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,E.ON ,13/06/2018,"1,933.76"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -SCC Planned,A HAND SERVICES (Dyno Rod) LTD,27/06/2018,126
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -SCC Planned,A HAND SERVICES (Dyno Rod) LTD,04/06/2018,189
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,MAINSTAY PAYMENTS LTD,19/06/2018,565.46
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,MAINSTAY PAYMENTS LTD ,19/06/2018,"3,953.40"
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,MIDLAND TML,22/06/2018,622.16
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Planned Repairs,OPUS ENERGY LTD (electricity),19/06/2018,201.22
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,PROKILL UK LIMITED,20/06/2018,160
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,PROKILL UK LIMITED,20/06/2018,160
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - Other,PROKILL UK LIMITED,20/06/2018,160
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,22/06/2018,160
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Lift Maintenance,SECURITY WISE LTD,05/06/2018,210
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,SECURITY WISE LTD,05/06/2018,150
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,20/06/2018,"3,352.00"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,SPACECARE,07/06/2018,111
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS LTD ,26/06/2018,374.63
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS LTD ,20/06/2018,374.63
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,13/06/2018,"3,306.52"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,20/06/2018,802.22
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Services,VEOLIA ES (UK) LTD,22/06/2018,181.72
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Services,VEOLIA ES (UK) LTD,08/06/2018,181.72
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,04/06/2018,145.74
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,19/06/2018,299.43
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,19/06/2018,217.11
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JOHNSON CONTROLS LTD,07/06/2018,"3,786.00"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,RAPID SECURE LTD,18/06/2018,225
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Service Contracts,APT SKIDATA LTD,20/06/2018,227
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Environment Services (UK) Ltd ,29/06/2018,"9,380.67"
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,FCC Environment Services (UK) Ltd ,29/06/2018,"8,069.58"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),21/06/2018,293.15
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),21/06/2018,100.55
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),21/06/2018,658.24
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,245.25
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,355.52
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,831.64
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,128.63
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/06/2018,"1,039.49"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/06/2018,"1,346.21"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/06/2018,551.9
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,"3,899.13"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/06/2018,"3,877.34"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,176.65
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,187.78
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,169.86
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/06/2018,115.34
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),21/06/2018,127.94
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,120.83
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/06/2018,311.39
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/06/2018,777.04
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/06/2018,228.77
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/06/2018,565.11
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),21/06/2018,177.34
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),21/06/2018,129.84
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,675.29
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/06/2018,241.35
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/06/2018,168.45
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/06/2018,444.86
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/06/2018,930.91
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/06/2018,335.03
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Buildings DLO Charge,Lift Source (UK) Limited,20/06/2018,120
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Service Contracts,BULLEYS BRADBURY,13/06/2018,"2,901.50"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,Gazprom Energy,08/06/2018,"1,092.29"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,CHP Management Limited,15/06/2018,"1,812.78"
"Business, Development & Employment",Estates & Investment,Supplies & Services,Consultants Fees,Mid West Planning Ltd,08/06/2018,130
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,Reveal Media Ltd,26/06/2018,"7,215.94"
"Business, Development & Employment",Housing Investment Programme,Supplies & Services,Conference Expenses,HEMMING GROUP LTD,11/06/2018,"2,695.00"
"Business, Development & Employment",Housing Investment Programme,Employees,Recruitment Advertising,GatenbySanderson,27/06/2018,"2,460.00"
"Business, Development & Employment",Housing Investment Programme,Employees,Recruitment Advertising,GatenbySanderson,19/06/2018,"5,325.00"
"Business, Development & Employment",Inward Investment & Business Support,Capital Expenditure,Payments to Contractor,Digital Avenue Limited,25/06/2018,"2,935.00"
"Business, Development & Employment",Inward Investment & Business Support,Capital Expenditure,Payments to Contractor,HEREFORDSHIRE COUNCIL,22/06/2018,529.64
"Business, Development & Employment",Inward Investment & Business Support,Capital Expenditure,Payments to Contractor,BT PLC ,27/06/2018,"417,396.00"
"Business, Development & Employment",Inward Investment & Business Support,Third Party Payments,Contribution To Other La's,SHROPSHIRE CHAMBER OF COMMERCE & ENTERPR,14/06/2018,"8,000.00"
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Other Grants (Expenses),Good2Great Ltd,22/06/2018,"14,730.50"
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Computer Software (Maint),Interdirect Limited,27/06/2018,"1,795.00"
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Computer Software (Maint),Interdirect Limited,29/06/2018,195
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Conference Expenses,Immersive AV Limited,14/06/2018,"2,118.90"
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Advertising,AJB Media Limited,18/06/2018,"1,800.00"
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Marketing & Publicity,Story Comms Limited,13/06/2018,"2,400.00"
"Business, Development & Employment",Skills,Transport-Related Expenditure,Parents Reimbursements,REDACTED PERSONAL INFORMATION,18/06/2018,233
"Business, Development & Employment",Skills,Transport-Related Expenditure,Parents Reimbursements,REDACTED PERSONAL INFORMATION,18/06/2018,233
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,TELFORD CHRISTIAN COUNCIL SUPPORTED HOUS,19/06/2018,200
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,TELFORD CHRISTIAN COUNCIL SUPPORTED HOUS,19/06/2018,200
"Business, Development & Employment",Skills,Third Party Payments,Childminders,CHILDCARE SOS,22/06/2018,617.63
"Business, Development & Employment",Skills,Third Party Payments,Childminders,CHILDCARE SOS,22/06/2018,459
"Business, Development & Employment",Skills,Third Party Payments,Childminders,CHILDCARE SOS,22/06/2018,729
"Business, Development & Employment",Skills,Third Party Payments,Childminders,CHILDCARE SOS,22/06/2018,"1,201.50"
"Business, Development & Employment",Skills,Third Party Payments,Childminders,CHILDCARE SOS,22/06/2018,"1,046.25"
"Business, Development & Employment",Skills,Third Party Payments,Childminders,CHILDCARE SOS,22/06/2018,"1,552.50"
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,HOLLINSWOOD & RANDLAY PARISH COUNCIL,14/06/2018,216
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,OAKENGATES TOWN COUNCIL,26/06/2018,240
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,OAKENGATES TOWN COUNCIL,26/06/2018,300
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,OAKENGATES TOWN COUNCIL,26/06/2018,120
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,OAKENGATES TOWN COUNCIL,18/06/2018,120
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,OAKENGATES TOWN COUNCIL,18/06/2018,120
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,OAKENGATES TOWN COUNCIL,18/06/2018,225
"Business, Development & Employment",Skills,Employees,Staff Training,UNIVERSITY OF WOLVERHAMPTON ,18/06/2018,"2,835.00"
