Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount ,
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,22/05/2018, 382.47 ,
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,22/05/2018," 1,185.60 ",
"Business, Development & Employment",Estates & Investment,Supplies & Services,Sub Contractors,DMW ENVIRONMENTAL SAFETY LTD,03/05/2018, 750.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M WC Planned,DMW ENVIRONMENTAL SAFETY LTD,29/05/2018, 450.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,E.ON UK PLC ,16/05/2018," 1,739.99 ",
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,LOCSAFE SECURITY SYSTEMS,11/05/2018, 261.65 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,25/05/2018, 186.95 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,30/05/2018, 177.51 ,
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,MIDLAND TML,25/05/2018, 530.88 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,SECURITY WISE LTD,15/05/2018, 505.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,15/05/2018, 185.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,SECURITY WISE LTD,22/05/2018, 220.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,SECURITY WISE LTD,22/05/2018, 527.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,01/05/2018, 190.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,15/05/2018, 190.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,03/05/2018, 190.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,SECURITY WISE LTD,09/05/2018, 190.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,SECURITY WISE LTD,09/05/2018, 190.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,SECURITY WISE LTD,09/05/2018, 190.00 ,
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,SECURITY WISE LTD,03/05/2018, 110.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,23/05/2018, 150.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,SCOTTISH POWER PLC,02/05/2018, 177.12 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,SPACECARE,10/05/2018, 111.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GO PLANT SWEEPERS T/A SHROPSHIRE ROADSWEEPERS,23/05/2018, 250.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,TURNER ENGINE POWERED SERVICES LTD,23/05/2018, 135.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,TURNER ENGINE POWERED SERVICES LTD,23/05/2018, 355.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,02/05/2018," 2,338.73 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,18/05/2018, 266.53 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Service Contracts,APT SKIDATA LTD,21/05/2018, 593.95 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Service Contracts,APT SKIDATA LTD,21/05/2018," 7,667.00 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Service Contracts,APT SKIDATA LTD,15/05/2018, 729.75 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/05/2018," 1,873.93 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Lift Maintenance,Lift Source (UK) Limited,03/05/2018," 1,900.00 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Lift Maintenance,Lift Source (UK) Limited,03/05/2018, 120.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Lift Maintenance,Lift Source (UK) Limited,30/05/2018, 564.05 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Service Contracts,BULLEYS BRADBURY,30/05/2018, 252.90 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,Gazprom Energy,16/05/2018," 1,255.31 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,Green Assess Telford and Wrekin,03/05/2018, 215.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Building Regs & Planning Fees,WPD MIDLANDS NETWORKS SERVICES LTD,23/05/2018," 5,569.04 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Land Purchase,MORLAND UTILITIES LTD,23/05/2018," 7,960.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Morris Property Ltd,23/05/2018," 497,656.35 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,23/05/2018," 571,341.74 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,RPS DESIGN LTD,24/05/2018," 1,000.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Building Regs & Planning Fees,FITZGERALD CONTRACTORS LTD,15/05/2018," 3,262.46 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,RPS DESIGN LTD,15/05/2018," 1,000.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Land Purchase,HM Revenue & Customs,15/05/2018," 11,941.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Skylens Photography & Video Ltd,15/05/2018, 295.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,PINSENT MASONS LLP,15/05/2018," 1,500.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Hinton Properties,15/05/2018," 9,750.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,PINSENT MASONS LLP,15/05/2018, 688.37 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Building Regs & Planning Fees,Parkway Medical Services Ltd,15/05/2018, 217.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,POWER ON CONNECTIONS LTD,15/05/2018," 19,357.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,PINSENT MASONS LLP,15/05/2018, 528.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Marketing / Advertising,VPS (UK) LTD,17/05/2018," 1,410.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,FML Project Services Ltd,31/05/2018, 850.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,PINSENT MASONS LLP,31/05/2018," 8,812.55 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,PINSENT MASONS LLP,31/05/2018," 6,021.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Site Investigation,GROUND INVESTIGATION & PILING LTD,17/05/2018," 1,958.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,23/05/2018, 995.95 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Legal Fees,FBC MANBY BOWDLER LLP,23/05/2018, 750.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Purchase of Buildings,RMF LANDSCAPING LTD,03/05/2018," 3,520.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Legal Fees,Sharpe Pritchard LLP,03/05/2018," 1,501.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Site Investigation,GROUND INVESTIGATION & PILING LTD,03/05/2018," 4,605.16 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Site Investigation,GROUND INVESTIGATION & PILING LTD,03/05/2018," 1,831.49 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Purchase of Buildings,MARLOW CONSULTING LTD,08/05/2018, 580.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,NOBRIDGE LTD,29/05/2018, 167.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Other Capital Expenditure,NPOWER ELECTRICITY,29/05/2018, 235.91 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Asset Disposal Costs,REDACTED PERSONAL INFORMATION’ ,31/05/2018," 1,952.50 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,RPS DESIGN LTD,15/05/2018, 875.62 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Miscellaneous Income,TROWERS & HAMLINS LLP,15/05/2018," 3,400.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Miscellaneous Income,TROWERS & HAMLINS LLP,15/05/2018," 3,400.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Miscellaneous Income,TROWERS & HAMLINS LLP,16/05/2018,"-3,400.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Legal Fees,Browne Jacobson LLP,16/05/2018," 1,701.85 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,AB acoustics,23/05/2018," 3,280.00 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,LandScope Engineering Ltd,23/05/2018, 500.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Plan Environment Services Fees,SIMPLY ECOLOGY,24/05/2018, 468.15 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Plan Environment Services Fees,SIMPLY ECOLOGY,24/05/2018, 468.15 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Plan Environment Services Fees,SIMPLY ECOLOGY,24/05/2018, 468.15 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Plan Environment Services Fees,SIMPLY ECOLOGY,24/05/2018, 468.15 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Plan Environment Services Fees,SIMPLY ECOLOGY,24/05/2018, 468.15 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Site Investigation,GROUND INVESTIGATION & PILING LTD,29/05/2018," 9,877.62 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,3S PRINT & DISPLAY LIMITED,29/05/2018," 5,884.30 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,14/05/2018," 9,884.83 ",
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,3S PRINT & DISPLAY LIMITED,14/05/2018, 395.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,A.R.M. Surveys Ltd,31/05/2018, 200.00 ,
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Engineers Fees,BATTLEFIELD LAND SURVEYS LTD,08/05/2018," 1,200.00 ",
"Business, Development & Employment",Housing Investment Programme,Employees,Professional Subs,ADEPT,21/05/2018, 600.00 ,
"Business, Development & Employment",Housing Investment Programme,Supplies & Services,Sport Equip - Purchase,Ace Play Ltd,09/05/2018," 11,000.00 ",
"Business, Development & Employment",Housing Investment Programme,Supplies & Services,Sport Equip - Purchase,Ace Play Ltd,09/05/2018,"-11,000.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Consultants Fees,SHROPSHIRE COUNCIL ,08/05/2018," 26,112.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Other Grants (Expenses),TELFORD INTERNATIONAL CENTRE,08/05/2018, 250.00 ,
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Other Grants (Expenses),TELFORD INTERNATIONAL CENTRE,08/05/2018," 2,250.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Other Grants (Expenses),Good2Great Ltd,29/05/2018," 13,537.01 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Other Grants (Expenses),Good2Great Ltd,10/05/2018," 11,941.42 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Other Grants (Expenses),Good2Great Ltd,10/05/2018,"-11,879.56 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Web Services,Source Design Limited,17/05/2018," 4,350.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Web Services,Source Design Limited,10/05/2018," 4,550.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Web Services,Source Design Limited,10/05/2018," 3,097.80 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Web Services,Source Design Limited,10/05/2018," 9,292.50 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Other Grants (Expenses),Maxell Europe Limited,08/05/2018," 1,080.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Marketing & Publicity,The Round Group Limited,22/05/2018," 3,450.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Other Grants (Expenses),Flower & White Limited,31/05/2018," 1,080.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Supplies & Services,Marketing & Publicity,Story Comms Limited,22/05/2018," 1,665.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Capital Expenditure,Payments to Contractor,Atec Security Limited,08/05/2018," 3,645.00 ",
"Business, Development & Employment",Inward Investment & Business Support,Capital Expenditure,Payments to Contractor,Balfour Beatty Civils Limited,17/05/2018," 1,959.47 ",
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,HADLEY & LEEGOMERY PARISH COUNCIL,18/05/2018, 144.00 ,
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,HADLEY & LEEGOMERY PARISH COUNCIL,18/05/2018, 165.00 ,
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,OAKENGATES TOWN COUNCIL,18/05/2018, 150.00 ,
"Business, Development & Employment",Skills,Premises-Related Expenditure,Hire Of Rooms,OAKENGATES TOWN COUNCIL,18/05/2018, 255.00 ,
"Business, Development & Employment",Skills,Third Party Payments,DSG - High Needs Block,SOUTH STAFFORDSHIRE COLLEGE,25/05/2018," 25,223.66 ",
"Business, Development & Employment",Skills,Supplies & Services,Exam Fees,CITY & GUILDS,18/05/2018, 103.00 ,
"Business, Development & Employment",Skills,Supplies & Services,Exam Fees,CITY & GUILDS,21/05/2018, 325.00 ,
"Business, Development & Employment",Skills,Supplies & Services,Exam Fees,CITY & GUILDS,09/05/2018, 515.00 ,
